HIP,right ascension_lon,declination_lat,apparent magnitude,Star Name
11090,35.5,41.38,5.81,
11095,35.5,-73.63,5.99,
11102,35.5,-51.08,5.9,
11220,36,50,5.19,
11249,36,10.6,5.48,
11258,36,-60.3,5.36,
11313,36.25,50.26,4.73,
11345,36.25,-12.28,4.88,
11348,36.5,-15.33,5.88,
11381,36.5,-20.03,5.89,
11407,36.5,-47.7,4.24,
11432,36.75,31.8,5.55,
11477,37,-33.8,5.13,
11484,37,8.45,4.3,
11486,37,29.66,5.29,
11548,37,29.91,5.89,
11569,37.25,67.4,4.46,
11670,37.5,25.23,5.88,
11687,37.5,0.25,6,
11738,37.75,2.26,5.27,
11757,37.75,-79.1,5.27,
11767,37.75,89.25,1.97,Polaris
11783,38,-15.23,4.74,
11784,38,36.13,5.15,
11791,38,-1.03,5.36,
11840,38,34.53,5.84,
11843,38,15.03,6,
11867,38.25,-34.63,5.91,
11918,38.25,-28.21,4.96,
12002,38.5,-7.85,5.74,
12072,38.75,37.3,5.72,
12086,38.75,34.68,5.38,
12093,38.75,5.58,4.87,
12107,39,-7.81,5.53,
12114,39,6.88,5.79,268 G. Cet
12122,39,-30.03,5.74,
12148,39,7.71,5.81,
12153,39,12.43,5.64,
12181,39,38.73,5.91,
12186,39,-34.56,5.78,
12225,39.25,-52.53,5.3,
12239,39.25,65.73,5.8,
12247,39.25,-3.38,5.65,
12273,39.5,72.81,5.17,
12288,39.5,-30.18,5.84,
12332,39.5,21.95,5.45,
12387,39.75,0.31,4.08,
12390,39.75,-11.86,4.83,
12394,39.75,-68.26,4.12,
12413,39.75,-42.88,4.74,
12444,40,-9.45,5.79,
12484,40,-54.53,5.21,
12486,40,-39.85,4.11,
12489,40,27.05,5.3,
12530,40.25,-0.68,5.72,
12562,40.25,-14.53,5.98,
12608,40.5,-38.38,5.99,
12623,40.5,40.18,4.91,
12640,40.5,20,5.74,
12653,40.5,-50.8,5.4,
12686,40.5,53.51,5.85,
12692,40.75,55.1,5.76,
12706,40.75,3.23,3.47,
12719,40.75,27.7,4.65,
12768,41,44.28,5.43,
12770,41,-13.85,4.24,
12777,41,49.21,4.1,
12803,41,15.3,5.78,
12821,41,67.81,5.95,
12828,41,10.1,4.27,
12832,41,12.43,5.17,
12843,41.25,-18.56,4.47,
12871,41.25,-63.7,5.73,
12876,41.25,-67.61,4.83,
13055,41.75,81.43,5.8,
13061,41.75,29.23,4.52,
13108,42,18.28,5.83,
13121,42,25.18,5.89,
13141,42.25,-62.8,5.25,
13147,42.25,-32.4,4.45,
13165,42.25,17.45,5.26,
13202,42.25,-27.93,5.39,
13209,42.25,27.25,3.61,
13225,42.5,-35.83,5.92,
13244,42.5,-75.06,4.76,
13254,42.5,38.31,4.22,
13265,42.5,-35.66,5.48,
13268,42.5,55.88,3.77,
13288,42.75,-21,4.76,
13327,42.75,15.06,5.52,
13328,42.75,35.05,4.56,
13339,42.75,46.83,5.86,
13367,42.75,68.88,5.94,
13473,43.25,-38.43,5.93,
13479,43.25,-22.36,5.93,
13490,43.25,38.33,5.34,
13531,43.5,52.75,3.93,
13654,43.75,18.31,5.76,
13665,43.75,61.51,5.59,
13679,44,8.36,5.97,
13701,44,-8.88,3.89,
13702,44,18.01,5.58,
13717,44,-3.7,5.16,
13775,44.25,31.93,5.1,
13782,44.25,-23.85,5.44,
13834,44.5,20.66,5.8,
